# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Apr 10 16:31:28 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 8.60206 0.8000000119 2.4187245369    0.800 -0.570  3.6941  4.639    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-14      0.00 7.108e-01 2.740e-01 2.695e-03 7.361e-04 6.686e-03 -1.000 1.521e-02 6.195 8.370 7.477 6.518 5.903 5.454 4.819 4.303 4.230
0.0152 0.01508 8.60206 0.8500000238 2.4350347519    0.850 -0.447  3.7128  4.617    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-14      0.00 7.110e-01 2.738e-01 2.694e-03 7.356e-04 6.682e-03 -1.000 1.514e-02 5.887 7.692 6.992 6.113 5.562 5.150 4.578 4.117 4.051
0.0152 0.01508 8.60206 0.9000000358 2.4492788315    0.899 -0.330  3.7299  4.594    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.12e-14      0.00 7.113e-01 2.735e-01 2.691e-03 7.350e-04 6.676e-03 -1.000 1.520e-02 5.596 7.095 6.565 5.751 5.252 4.868 4.350 3.936 3.877
0.0152 0.01508 8.60206 0.9500000477 2.4618122578    0.950 -0.219  3.7453  4.567    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-14      0.00 7.117e-01 2.731e-01 2.688e-03 7.341e-04 6.668e-03 -1.000 1.517e-02 5.316 6.552 6.171 5.420 4.965 4.607 4.135 3.759 3.707
0.0152 0.01508 8.60206 1.0000000000 2.4729156494    1.000 -0.110  3.7594  4.537    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-14      0.00 7.122e-01 2.727e-01 2.684e-03 7.330e-04 6.658e-03 -1.000 1.514e-02 5.044 6.050 5.805 5.112 4.696 4.360 3.927 3.582 3.537
0.0152 0.01508 8.60206 1.0499999523 2.4828116894    1.050 -0.006  3.7720  4.505    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.26e-14      0.00 7.129e-01 2.720e-01 2.678e-03 7.314e-04 6.644e-03 -1.000 1.509e-02 4.786 5.613 5.467 4.829 4.446 4.129 3.730 3.412 3.373
0.0152 0.01508 8.60206 1.1000000238 2.4916803837    1.099  0.093  3.7835  4.472    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.37e-14      0.00 7.141e-01 2.709e-01 2.668e-03 7.288e-04 6.621e-03 -1.000 1.506e-02 4.538 5.224 5.152 4.563 4.208 3.910 3.540 3.246 3.213
0.0152 0.01508 8.60206 1.1499999762 2.4996678829    1.149  0.188  3.7940  4.438    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.56e-14      0.00 7.157e-01 2.693e-01 2.655e-03 7.253e-04 6.589e-03 -1.000 1.496e-02 4.300 4.880 4.858 4.314 3.983 3.702 3.357 3.084 3.055
0.0152 0.01508 8.60206 1.2000000477 2.5068950653    1.200  0.280  3.8039  4.405    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.76e-14      0.00 7.159e-01 2.691e-01 2.657e-03 7.258e-04 6.595e-03 -1.000 1.498e-02 4.071 4.564 4.578 4.076 3.767 3.502 3.180 2.926 2.901
0.0152 0.01508 8.60206 1.2500000000 2.5134611130    1.250  0.367  3.8133  4.374    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-13      0.00 7.160e-01 2.690e-01 2.657e-03 7.259e-04 6.596e-03 -1.000 1.498e-02 3.853 4.279 4.315 3.853 3.564 3.313 3.013 2.777 2.756
0.0152 0.01508 8.60206 1.2999999523 2.5194499493    1.300  0.449  3.8225  4.345    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.162e-01 2.689e-01 2.656e-03 7.256e-04 6.593e-03 -1.000 1.499e-02 3.647 4.026 4.070 3.639 3.368 3.132 2.854 2.637 2.617
0.0152 0.01508 8.60206 1.3500001431 2.5249314308    1.350  0.527  3.8317  4.320    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 7.160e-01 2.690e-01 2.657e-03 7.259e-04 6.595e-03 -1.000 1.498e-02 3.451 3.789 3.836 3.437 3.184 2.963 2.706 2.507 2.489
0.0152 0.01508 8.60206 1.4000000954 2.5299651623    1.400  0.602  3.8412  4.299    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-13      0.00 7.160e-01 2.690e-01 2.657e-03 7.258e-04 6.594e-03 -1.000 1.498e-02 3.266 3.572 3.614 3.246 3.011 2.807 2.571 2.391 2.374
0.0152 0.01508 8.60206 1.4500000477 2.5346016884    1.450  0.672  3.8516  4.286    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-13      0.00 7.162e-01 2.688e-01 2.656e-03 7.254e-04 6.591e-03 -1.000 1.497e-02 3.089 3.367 3.400 3.063 2.849 2.663 2.450 2.290 2.275
0.0152 0.01508 8.60206 1.4739091396 2.5366914272    1.474  0.705  3.8575  4.283    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.163e-01 2.687e-01 2.655e-03 7.252e-04 6.589e-03 -1.000 1.499e-02 3.006 3.270 3.299 2.978 2.775 2.599 2.399 2.251 2.236
0.0152 0.01508 8.60206 1.5000000000 2.5388846397    1.500  0.741  3.8637  4.280    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.164e-01 2.686e-01 2.654e-03 7.250e-04 6.587e-03 -1.000 1.500e-02 2.918 3.169 3.190 2.887 2.696 2.532 2.345 2.208 2.194
0.0152 0.01508 8.60206 1.5499999523 2.5428512096    1.550  0.807  3.8766  4.280    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-13      0.00 7.166e-01 2.685e-01 2.652e-03 7.246e-04 6.584e-03 -1.000 1.497e-02 2.752 2.982 2.988 2.718 2.553 2.412 2.252 2.138 2.125
0.0152 0.01508 8.60206 1.6000000238 2.5465342999    1.600  0.870  3.8890  4.280    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.62e-14      0.00 7.167e-01 2.683e-01 2.651e-03 7.242e-04 6.581e-03 -1.000 1.498e-02 2.594 2.807 2.797 2.559 2.419 2.300 2.165 2.073 2.061
0.0152 0.01508 8.60206 1.6088361740 2.5471577644    1.608  0.881  3.8910  4.280    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.88e-14      0.00 7.168e-01 2.682e-01 2.651e-03 7.242e-04 6.580e-03 -1.000 1.497e-02 2.567 2.778 2.764 2.532 2.396 2.281 2.151 2.061 2.049
0.0152 0.01508 8.60206 1.6500000954 2.5499615669    1.649  0.931  3.9003  4.278    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.32e-14      0.00 7.169e-01 2.682e-01 2.650e-03 7.240e-04 6.578e-03 -1.000 1.494e-02 2.443 2.644 2.618 2.410 2.292 2.194 2.081 2.006 1.996
0.0152 0.01508 8.60206 1.6936283112 2.5527629852    1.693  0.981  3.9093  4.274    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-28      0.00 7.170e-01 2.681e-01 2.649e-03 7.238e-04 6.577e-03 -1.000 1.495e-02 2.317 2.508 2.472 2.288 2.189 2.106 2.010 1.947 1.937
0.0152 0.01508 8.60206 1.7000000477 2.5531582832    1.699  0.989  3.9105  4.274    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.170e-01 2.680e-01 2.649e-03 7.238e-04 6.576e-03 -1.000 1.495e-02 2.298 2.489 2.451 2.271 2.174 2.093 1.999 1.939 1.929
