source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag
4689528456683449984,4.857169171136506,-72.76001481414514,-0.2838548048306872,5.643146570299729,-0.8472437438193531,15.37399
4688974852623133824,11.80561005986593,-72.70482601208352,0.011366212858606829,0.6532126584607811,-1.2187981340370346,14.190432
4689021959813551744,11.833493035993813,-72.67639987355292,-0.0016355919228438244,0.6216993698908841,-1.3942659731867548,14.229588
4689021513137009792,11.641169837608274,-72.70360201895794,-0.02436334892202885,0.6091682576768938,-1.1575575436310357,14.432427
4689021680612113536,11.589047579356231,-72.69921735749223,-0.02792638303023428,0.8034851040171802,-1.1667720475830081,14.9086685
4689021371374365824,11.559545137745152,-72.71834371459468,-0.005354959960599134,0.8438087424664744,-1.2520717728316122,15.410223
4689021375698071168,11.575707255660832,-72.7173232965281,-0.02666914027623349,0.6180389647258042,-1.3276177389570363,15.08458
4689021478777287424,11.5842931330295,-72.71928445231582,-0.039003082377071466,0.8988931351878902,-1.2297546978670486,15.369345
4689021341338346112,11.52133453195149,-72.73076951889043,-0.09365405387940068,0.9390533156853331,-1.0225599383051556,15.068113
4688974509025832064,11.67784873768061,-72.71691304883062,-0.008265558339988467,0.6439403926152811,-1.2298076106025746,14.826272
4689021410058050432,11.63995459963386,-72.72033208374393,0.0061134799584426445,0.6054527453990843,-1.2773783263989043,14.867611
4689021306978605184,11.589427511404754,-72.73149215907944,-0.013612734575649196,0.5616388118594509,-1.3265535971027116,14.997065
4688974332892150528,11.528632061051507,-72.75291011957863,0.006722859119632692,0.6616279433937852,-1.2550242759882086,14.875466
4688975127501077376,12.03952362780707,-72.73048586360694,-0.006164132702662157,0.6967873996827464,-1.253777647572494,14.070063
4688975093141456640,11.970989095797652,-72.75463915790587,-0.03159794184761461,0.6788462227592413,-1.1780188765501998,14.986669
4688975024421763328,11.844797020026368,-72.6896917101882,-0.0235293474715203,0.5938342059518789,-1.2481998778217118,15.223159
4688974646464786816,11.793382664294132,-72.72515676056607,-0.010537439047283556,0.5148811332880678,-1.2628555389589082,14.800927
4688974646464757120,11.809364163120419,-72.71827679217036,9.167192803378188E-4,0.6868678631738088,-1.1879865111632049,15.488157
4688973405179167232,11.703297587447304,-72.76381821797192,-0.03643491442039541,0.6921670088757534,-1.3873821212839421,14.478936
4688974405946728704,11.653139090175172,-72.74087666059143,-0.05539538538969668,0.542957257708403,-1.2355206499738094,14.787834
4688974405946755456,11.64411643138266,-72.74563451697553,0.0068831757104750625,0.6805347334005405,-1.2183191765765233,14.756283
4688974405947474944,11.614811527805564,-72.74842189835032,-0.03215698061321791,0.767535894545853,-1.2383980785432238,15.078075
4688974337227389696,11.498796385400542,-72.76356834817503,0.0026843867378098345,0.5651043177786792,-1.2841858296528972,14.585634
4688973272075570048,11.590357603953864,-72.7891464873766,-0.016725136226519333,0.5328770543474824,-1.1862152535574289,13.841347
4688973993630066304,11.565440455130666,-72.78409351457822,-0.012419860322446803,0.5938539560209537,-1.2711772611630061,15.362155
4688973650032478976,11.86742418667794,-72.7546289518927,0.012619900162028071,0.6751491289719944,-1.1984333204819562,15.025513
4688973714485266176,11.758341134762833,-72.77192647431903,-0.017372734979894295,0.4557764912322356,-1.1990283986132615,15.403115
4689614012433186944,5.181640773123021,-72.2132864924394,0.014222135195727396,5.6261409195575105,-5.189358665104986,14.701923
4688425990115044352,7.075937669139165,-74.06129463666917,-0.014695031927981456,0.5756465435933789,-1.2748750588709914,15.235091
4688405168112739072,6.182461403741443,-74.093224553607,-0.017324964074955686,0.34057622515907915,-1.2072321565633173,13.833054
4688425268560549888,6.639463118445869,-74.06967944480904,-0.023653934632181732,0.5142429380021769,-1.2546771080479817,14.885009
4688400632627284992,6.076143386465346,-74.21390619422041,-0.04563691422860432,0.3645685267346384,-1.1775853321015317,14.691086
4690377382729299328,10.341427302838396,-70.61853103722527,-0.062961146625856,0.8575496999882438,-1.4285800870405725,15.277016
4689305221462528512,11.455551363279035,-71.88961523527539,-0.03999945317977925,0.5229990916337353,-1.2815583248893927,15.299203
4689256602430419200,11.547987311615794,-72.00002620156677,-0.03004782794661504,0.6439779918147552,-1.2080341098389513,14.922292
4690110888599314816,11.76702705910925,-71.04101556801074,-0.05206394281006587,0.5012296842083622,-1.1754787858435967,15.49342
4690104291529656832,11.462905451136042,-71.21302692227653,-0.5858198012289723,1.7210883700804778,-6.966894994358477,15.034309
4690083984924307968,11.404706441539375,-71.39867201764692,-0.041162556279202234,8.353152095919967,2.895767895806693,15.013131
4689258457855774720,11.80281834538364,-71.87308325861868,-0.14422386256949746,0.8072569587235326,-1.274409474793165,14.905977
4689305736858587008,11.779566722362942,-71.81920541922923,-0.05587278569550734,0.5968851868635854,-1.3053276408374141,13.723236
4689260721302081920,12.146159881386541,-71.87821144438142,-0.011918497496169602,0.7135846696369343,-1.2926843163346793,15.161535
4689260107123238400,12.070292000957778,-71.91611077967,-0.08574266201568552,0.6753553489468314,-1.205415082519089,15.0338125
4689260450720594304,12.194883740738359,-71.8954456864383,-0.06638896977206835,0.6350152284440296,-1.2433629186070116,15.124184
4689259935324604416,11.898143143341889,-71.95341093963388,-0.06338921847339817,0.7207089159831054,-1.252698123200391,15.175008
4689252891578324480,11.914550044227333,-72.02135412902835,-0.05622707857634138,0.6459103966002826,-1.2398181695703518,15.08478
4689242995973692544,12.393831288594416,-72.06959190668752,-0.027635872113281917,0.6401742084955527,-1.316159562364291,15.46075
4689243064693158784,12.382676012876333,-72.06134454855186,-0.0453717074863481,0.6711964725704007,-1.265333210529984,14.990214
