2456513.3754745373  18.229  0.008
2456513.3763194443  18.176  0.009
2456513.3771643518  18.146  0.008
2456513.3779745372  18.116  0.008
2456513.3788078702  18.130  0.008
2456513.3796527777  18.078  0.008
2456513.3804861112  18.057  0.008
2456513.3813310186  18.012  0.007
2456513.3821412036  17.969  0.007
2456513.3829861111  17.973  0.007
2456513.3837847221  17.918  0.007
2456513.3846296296  17.853  0.006
2456513.3854745370  17.786  0.006
2456513.3863194445  17.702  0.006
2456513.3871643520  17.598  0.005
2456513.3879976850  18.127  0.008
2456513.3888425925  17.491  0.005
2456513.3896875000  17.611  0.005
2456513.3905324074  17.480  0.005
2456513.3913657409  17.822  0.006
2456513.3922106479  17.413  0.005
2456513.3930555554  17.309  0.004
2456513.3939004629  17.287  0.004
2456513.3947453704  17.205  0.004
2456513.3955902779  16.998  0.003
2456513.3964351853  16.868  0.003
2456513.3972685183  16.860  0.003
2456513.3980787038  16.867  0.003
2456513.3989120373  16.897  0.003
2456513.3997569443  16.944  0.003
2456513.4006018518  16.978  0.003
2456513.4014467592  17.021  0.003
2456513.4022453702  17.055  0.003
2456513.4030902777  18.419  0.011
2456513.4039236112  17.520  0.005
2456513.4047685186  17.447  0.005
2456513.4055787036  17.193  0.004
2456513.4064236111  17.138  0.004
2456513.4072685186  17.145  0.004
2456513.4081018521  17.173  0.004
2456513.4089467591  17.167  0.004
2456513.4097800925  17.194  0.004
2456513.4106250000  17.206  0.004
2456513.4114699075  17.213  0.004
2456513.4123032410  17.207  0.004
2456513.4131481480  17.212  0.004
2456513.4139930555  17.217  0.004
2456513.4148379629  17.232  0.004
2456513.4156712964  17.244  0.004
2456513.4165162039  17.241  0.004
2456513.4173495369  17.239  0.004
2456513.4181944444  17.249  0.004
2456513.4190393519  17.264  0.004
2456513.4198842593  17.273  0.004
2456513.4207291668  17.278  0.004
2456513.4215740738  17.301  0.004
2456513.4224189813  17.302  0.004
2456513.4232638888  17.298  0.004
2456513.4240972223  17.294  0.004
2456513.4249421298  17.277  0.004
2456513.4257870372  17.275  0.004
2456513.4266203702  17.274  0.004
2456513.4274652777  17.289  0.004
2456513.4283101852  17.272  0.004
2456513.4291435187  17.273  0.004
2456513.4299884262  17.287  0.004
2456513.4308333332  17.284  0.004
2456513.4316782407  17.276  0.004
2456513.4325231481  17.281  0.004
2456513.4333564816  17.257  0.004
2456513.4342129631  17.263  0.004
2456513.4350462961  17.266  0.004
2456513.4358449075  17.250  0.004
2456513.4366898150  17.227  0.004
2456513.4375347220  17.235  0.004
2456513.4383796295  17.221  0.004
2456513.4392129630  17.211  0.004
2456513.4400578705  17.203  0.004
2456513.4408912039  17.191  0.004
2456513.4417361110  17.164  0.004
2456513.4425810184  17.146  0.004
2456513.4434259259  17.115  0.004
2456513.4442708334  17.086  0.003
2456513.4451041669  17.232  0.004
2456513.4459490739  17.614  0.005
2456513.4467939814  17.006  0.003
2456513.4476388888  17.298  0.004
2456513.4484837963  17.257  0.004
2456513.4493287038  16.704  0.003
2456513.4501736113  17.721  0.006
2456513.4510185183  17.621  0.005
2456513.4518518518  18.443  0.010
2456513.4526851852  17.800  0.006
2456513.4535300927  17.574  0.005
2456513.4543750002  18.426  0.010
2456513.4551967592  17.737  0.006
2456513.4560069446  17.582  0.005
2456513.4568402776  18.086  0.008
2456513.4576851851  18.034  0.008
2456513.4584953706  17.613  0.005
2456513.4593402776  17.445  0.005
2456513.4601851851  17.223  0.004
2456513.4610185185  17.162  0.004
2456513.4618634260  17.113  0.004
2456513.4627083335  17.107  0.004
2456513.4635532405  17.255  0.004
2456513.4643865740  17.246  0.004
2456513.4652083335  17.546  0.005
2456513.4660416665  18.518  0.011
2456513.4668865739  17.049  0.003
2456513.4677199074  17.019  0.003
2456513.4685532409  17.121  0.004
2456513.4693865739  17.347  0.004
2456513.4702430554  17.974  0.007
2456513.4710763888  17.704  0.006
2456513.4719097223  17.890  0.006
2456513.4727546298  17.722  0.006
2456513.4735879628  18.105  0.007
2456513.4744212963  18.212  0.009
2456513.4752430557  18.430  0.010
